"","family","genus.species","australian.common.name","fishing.type","iucn.ranking","mean.relative.abundance.per.deployment.plus.minus.SE","total.relative.abundance","archetype"
"59","Monacanthidae","Brachaluteres jacksonianus","Southern pygmy leatherjacket","","Least Concern","0.01 +/- 0",2,NA
"60","Monacanthidae","Eubalichthys bucephalus","Black Reef leatherjacket","","","0.01 +/- 0",2,NA
"61","Monacanthidae","Eubalichthys mosaicus","Mosaic leatherjacket","","","0 +/- 0",1,NA
"62","Monacanthidae","Meuschenia australis","Brownstriped leatherjacket","","","0.01 +/- 0",2,NA
"63","Monacanthidae","Meuschenia flavolineata","Yellowstriped leatherjacket","","","0.12 +/- 0.03",34,"Shallow"
"64","Monacanthidae","Meuschenia freycineti","Sixspine leatherjacket","","","0.06 +/- 0.01",19,"Ubiquitous"
"65","Monacanthidae","Meuschenia galii","Bluelined leatherjacket","","","0.4 +/- 0.04",119,"Shallow"
"66","Monacanthidae","Meuschenia hippocrepis","Horseshoe leatherjacket","","Least Concern","0.02 +/- 0.01",6,"Shallow"
"67","Monacanthidae","Meuschenia scaber","Velvet leatherjacket","","","0.1 +/- 0.03",30,"Ubiquitous"
"68","Monacanthidae","Meuschenia venusta","Stars-and-stripes leatherjacket","","","0.04 +/- 0.01",11,"Shallow"
"69","Monacanthidae","Nelusetta ayraud","Ocean jacket","","","2.19 +/- 0.23",644,"Ubiquitous"
"70","Monacanthidae","Scobinichthys granulatus","Rough leatherjacket","","","0.21 +/- 0.03",63,"Shallow"
"71","Monacanthidae","Unknown spp",NA,"",NA,"0 +/- 0",1,NA
"72","Monocentridae","Cleidopus gloriamaris","Australian pineapplefish","","","0.01 +/- 0.01",3,NA
"73","Moridae","Pseudophycis barbata","Bearded rock cod","Commercial","","0.02 +/- 0.02",5,NA
"74","Mullidae","Parupeneus chrysopleuron","Rosy goatfish","","","0.11 +/- 0.02",33,"Ubiquitous"
"75","Mullidae","Upeneichthys vlamingii","Bluespotted goatfish","Commercial","","0.45 +/- 0.03",132,"Shallow"
"76","Muraenidae","Gymnothorax prasinus","Green moray","","","0.02 +/- 0.01",5,NA
"77","Muraenidae","Gymnothorax woodwardi","Woodward's moray","","","0.01 +/- 0.01",4,NA
"78","Myliobatidae","Myliobatis tenuicaudatus","Southern eagle ray","","Least Concern","0.27 +/- 0.03",80,"Shallow"
"79","Nemipteridae","Pentapodus vitta","Western butterfish","","","0 +/- 0",1,NA
"80","Neosebastidae","Neosebastes bougainvillii","Gulf gurnard perch","","","0.05 +/- 0.01",16,"Ubiquitous"
"81","Neosebastidae","Neosebastes nigropunctatus","Blackspotted gurnard perch","","","0.05 +/- 0.02",16,"Deep"
"82","Neosebastidae","Neosebastes pandus","Bighead gurnard perch","","","0.08 +/- 0.02",23,"Ubiquitous"
"83","Odacidae","Olisthops cyanomelas","Herring cale","","Least Concern","0.01 +/- 0",2,NA
"84","Odacidae","Siphonognathus caninis","Sharpnose weed whiting","","Least Concern","0.12 +/- 0.02",36,"Shallow"
"85","Odacidae","Siphonognathus sp1",NA,"",NA,"0.03 +/- 0.02",10,NA
"86","Oplegnathidae","Oplegnathus woodwardi","Knifejaw","","Data Deficient","0.67 +/- 0.07",196,"Ubiquitous"
"87","Orectolobidae","Orectolobus spp",NA,"",NA,"0.05 +/- 0.01",14,NA
"88","Ostraciidae","Aracana aurita","Shaw's cowfish","","","0.02 +/- 0.01",5,NA
"89","Paralichthyidae","Pseudorhombus spp",NA,"",NA,"0 +/- 0",1,NA
"90","Parascylliidae","Parascyllium ferrugineum","Rusty carpetshark","","Least Concern","0 +/- 0",1,NA
"91","Parascylliidae","Parascyllium variolatum","Varied carpetshark","","Least Concern","0.02 +/- 0.01",5,"Shallow"
"92","Pempheridae","Parapriacanthus elongatus","Elongate bullseye","","","3.89 +/- 2.49",1143,NA
"93","Pempherididae","Pempheris klunzingeri","Rough bullseye","","","0.26 +/- 0.14",77,"Shallow"
"94","Pentacerotidae","Parazanclistius hutchinsi","Short boarfish","Commercial","","0 +/- 0",1,NA
"95","Pinguipedidae","Parapercis haackei","Wavy grubfish","","","0.03 +/- 0.01",10,"Ubiquitous"
"96","Pinguipedidae","Parapercis ramsayi","Spotted grubfish","","","0.1 +/- 0.02",28,"Ubiquitous"
"97","Pinguipedidae","Parapercis spp",NA,"",NA,"0.01 +/- 0",2,NA
"98","Pinguipedidae","Unknown spp",NA,"",NA,"0 +/- 0",1,NA
"99","Platycephalidae","Leviprora spp",NA,"",NA,"0 +/- 0",1,NA
"100","Platycephalidae","Platycephalus spp",NA,"",NA,"0.2 +/- 0.05",58,NA
"101","Plesiopidae","Paraplesiops meleagris","Southern blue devil","","","0.01 +/- 0",2,NA
"102","Plesiopidae","Trachinops noarlungae","Yellowhead hulafish","","","0.1 +/- 0.05",30,"Shallow"
"103","Pomacentridae","Chromis klunzingeri","Blackhead puller","","","4.11 +/- 0.55",1207,"Shallow"
"104","Pomacentridae","Chromis westaustralis","West Australian puller","","","0.08 +/- 0.02",23,"Shallow"
"105","Pomacentridae","Parma bicolor","Bicolor scalyfin","","","0.03 +/- 0.01",10,"Shallow"
"106","Pomacentridae","Parma occidentalis","Western scalyfin","","","0.02 +/- 0.01",5,NA
"107","Pristiophoridae","Pristiophorus cirratus","Common sawshark","Commercial","Least Concern","0.02 +/- 0.01",7,"Deep"
"108","Rhinobatidae","Aptychotrema vincentiana","Western shovelnose ray","","Least Concern","0.02 +/- 0.01",6,NA
"109","Rhinobatidae","Trygonorrhina dumerilii","Southern fiddler ray","","","0.32 +/- 0.03",95,"Ubiquitous"
"110","Scombridae","Sarda orientalis","Oriental bonito","","Least Concern","0.01 +/- 0.01",2,NA
"111","Scombridae","Thunnus obesus","Bigeye tuna","Commercial","Vulnerable","0 +/- 0",1,NA
"112","Scombridae","Unknown spp",NA,"",NA,"0.07 +/- 0.02",20,NA
"113","Scorpaenidae","Scorpaena sumptuosa","Western red scorpionfish","","","0.02 +/- 0.01",7,NA
"114","Scorpididae","Neatypus obliquus","Footballer sweep","","","5.17 +/- 0.54",1521,"Ubiquitous"
"115","Scorpididae","Scorpis aequipinnis","Sea sweep","Commercial","","0.04 +/- 0.02",13,"Shallow"
"116","Scorpididae","Scorpis georgiana","Banded sweep","Commercial","","0.04 +/- 0.01",12,"Shallow"
"117","Scorpididae","Tilodon sexfasciatus","Moonlighter","","","0.18 +/- 0.03",52,"Ubiquitous"
"118","Scyliorhinidae","Asymbolus occiduus","Western spotted catshark","","Least Concern","0.07 +/- 0.02",20,"Deep"
"119","Scyliorhinidae","Aulohalaelurus labiosus","Blackspotted catshark","","Least Concern","0.03 +/- 0.01",9,NA
"120","Serranidae","Caesioperca spp",NA,"",NA,"3.16 +/- 0.51",929,NA
"121","Serranidae","Epinephelides armatus","Breaksea cod","Commercial","Near Threatened","0.19 +/- 0.03",56,"Ubiquitous"
"122","Serranidae","Hypoplectrodes nigroruber","Banded seaperch","","","0.06 +/- 0.01",17,"Shallow"
"123","Serranidae","Hyporthodus octofasciatus","Eightbar grouper","Commercial","Data Deficient","0 +/- 0",1,NA
"124","Serranidae","Othos dentex","Harlequin fish","Commercial","","0.02 +/- 0.01",6,NA
"125","Sillaginidae","Sillago spp",NA,"",NA,"0.02 +/- 0.02",6,"Ubiquitous"
"126","Sparidae","Chrysophrys auratus","Pink snapper","Commercial","Least Concern","0.85 +/- 0.13",249,"Ubiquitous"
"127","Sphyraenidae","Sphyraena novaehollandiae","Snook","","","0.03 +/- 0.01",8,"Shallow"
"128","Sphyraenidae","Sphyraena spp",NA,"",NA,"0 +/- 0",1,NA
"129","Sphyrnidae","Sphyrna spp",NA,"",NA,"0 +/- 0",1,NA
"130","Sphyrnidae","Sphyrna zygaena","Smooth hammerhead","Commercial","Vulnerable","0.01 +/- 0",2,NA
"131","Squalidae","Squalus spp",NA,"",NA,"0.13 +/- 0.03",37,"Deep"
"132","Tetraodontidae","Omegophora armilla","Ringed toadfish","","Least Concern","0.02 +/- 0.01",6,NA
"133","Triakidae","Furgaleus macki","Whiskery shark","Commercial","Least Concern","0.11 +/- 0.02",33,"Ubiquitous"
"134","Triakidae","Galeorhinus galeus","School shark","Commercial","Vulnerable","0.01 +/- 0.01",3,NA
"135","Triakidae","Mustelus antarcticus","Gummy shark","Commercial","Least Concern","0.04 +/- 0.01",12,"Ubiquitous"
"136","Triglidae","Chelidonichthys kumu","Red gurnard","Commercial","Least Concern","0.02 +/- 0.01",7,NA
"137","Triglidae","Pterygotrigla polyommata","Latchet","Commercial","","0.03 +/- 0.01",10,"Deep"
"138","Urolophidae","Trygonoptera mucosa","Western shovelnose stingaree","","Least Concern","0.01 +/- 0.01",3,NA
"139","Urolophidae","Trygonoptera ovalis","Striped stingaree","","Least Concern","0.32 +/- 0.03",93,"Shallow"
"140","Urolophidae","Urolophus circularis","Circular stingaree","","Least Concern","0.02 +/- 0.01",6,"Ubiquitous"
